series,cap,replicate,tour_km,tour_h,cost_eur,vehicles,parcels,parcels_per_vehicle,utilization,worktime_only,capa_only,both,neither,total_tours
v1,390,,31030,4477.4,141219,663,97358,146.8,0.3765,469,0,0,194,663
v1,400,,31161,4483.6,144473,681,97187,142.7,0.3568,455,0,1,225,681
v1,120,120_v2,35958,4614.5,204087,961,97069,101.0,0.8417,7,597,13,344,961
v2,30,,93835,7094.8,672391,3357,97553,29.1,0.9687,0,3047,0,310,3357
v2,40,,75102,6175.1,512396,2545,97555,38.3,0.9583,0,2253,0,292,2545
v2,50,,63294,5643.2,418284,2055,97555,47.5,0.9494,0,1774,0,281,2055
v2,60,,55185,5326.1,354297,1727,97556,56.5,0.9415,0,1452,0,275,1727
v2,70,,49508,5119.8,309810,1499,97546,65.1,0.9296,0,1236,0,263,1499
v2,80,,45001,4955.3,273847,1315,97553,74.2,0.9273,0,1065,0,250,1315
v2,90,,41904,4828.7,251859,1191,97557,81.9,0.9101,0,932,0,259,1191
v2,100,,38847,4723.1,227670,1077,97557,90.6,0.9058,0,829,0,248,1077
v2,110,,37552,4669.4,217648,1025,97538,95.2,0.8651,0,716,2,307,1025
v2,120,,36321,4621.1,210880,973,97545,100.3,0.8354,0,631,13,329,973
v2,130,,34690,4579.9,197427,906,97530,107.6,0.8281,0,550,48,308,906
v2,140,,33505,4544.4,187390,851,97545,114.6,0.8187,4,439,101,307,851
v2,150,,31968,4500.2,176890,806,97525,121.0,0.8067,24,338,128,316,806
v2,160,,31154,4467.4,159300,738,97514,132.1,0.8258,63,258,164,253,738
v2,170,,31419,4486.5,157788,741,97514,131.6,0.7741,106,134,217,284,741
v2,180,,31175,4476.4,150399,708,97532,137.8,0.7653,143,77,235,253,708
v2,190,,30995,4467.7,141558,671,97531,145.4,0.765,222,39,204,206,671
v2,200,,31099,4483.5,145180,686,97508,142.1,0.7107,308,17,140,221,686
v2,210,,30406,4462.5,139981,655,97520,148.9,0.709,338,10,111,196,655
v2,220,,30168,4455.4,141237,661,97509,147.5,0.6705,383,8,79,191,661
v2,230,,30282,4449.2,142013,663,97528,147.1,0.6396,401,4,46,212,663
v2,240,,30058,4437.5,139425,644,97502,151.4,0.6308,410,5,45,184,644
v2,250,,29917,4445.5,140197,642,97499,151.9,0.6075,418,5,37,182,642
v2,260,,30353,4450.0,141075,654,97492,149.1,0.5733,426,4,24,200,654
v2,270,,30344,4452.5,142087,654,97456,149.0,0.5519,418,3,26,207,654
v2,280,,30445,4451.1,142329,652,97463,149.5,0.5339,430,1,28,193,652
v2,290,,30467,4462.5,141308,661,97423,147.4,0.5082,440,0,14,207,661
v2,300,,30531,4459.7,140930,653,97433,149.2,0.4974,454,0,12,187,653
v2,310,,30738,4471.4,139783,650,97448,149.9,0.4836,461,1,7,181,650
v3,30,,93930,7089.9,672195,3357,97554,29.1,0.9687,0,3048,0,309,3357
v3,40,,75080,6184.0,513820,2545,97555,38.3,0.9583,0,2251,0,294,2545
v3,50,,63634,5689.9,420248,2059,97555,47.4,0.9476,0,1762,0,297,2059
v3,60,,54830,5327.7,353260,1727,97555,56.5,0.9415,0,1451,0,276,1727
v3,70,,49417,5112.7,311014,1503,97548,64.9,0.9272,0,1220,0,283,1503
v3,80,,45060,4948.1,274252,1315,97552,74.2,0.9273,0,1067,0,248,1315
v3,90,,41947,4840.5,249767,1191,97554,81.9,0.9101,0,921,0,270,1191
v3,100,,38596,4710.3,228826,1078,97557,90.5,0.905,0,819,0,259,1078
v3,110,,37125,4661.2,218082,1009,97553,96.7,0.8789,0,732,1,276,1009
v3,120,,36257,4633.9,210164,968,97542,100.8,0.8397,1,626,13,328,968
v3,130,,35346,4599.4,201126,919,97481,106.1,0.8159,1,524,45,349,919
v3,140,,32862,4521.6,181746,823,97542,118.5,0.8466,6,437,104,276,823
v3,150,,32867,4526.7,178130,809,97539,120.6,0.8038,26,342,133,308,809
v3,160,,31629,4498.2,165127,761,97528,128.2,0.801,68,231,183,279,761
v3,170,,31446,4487.3,156660,735,97530,132.7,0.7806,104,141,218,272,735
v3,180,,31135,4485.5,150323,711,97553,137.2,0.7623,161,68,230,252,711
v3,190,,30666,4462.7,142816,673,97516,144.9,0.7626,231,35,204,203,673
v3,200,,30119,4450.7,140330,662,97536,147.3,0.7367,304,17,143,198,662
v3,210,,30526,4458.4,141838,662,97512,147.3,0.7014,346,9,111,196,662
v3,220,,29911,4438.5,142070,657,97523,148.4,0.6747,370,6,83,198,657
v3,230,,30384,4447.8,143950,663,97503,147.1,0.6394,395,5,57,206,663
v3,240,,30365,4453.1,140444,655,97482,148.8,0.6201,425,5,36,189,655
v3,250,,30703,4469.4,143362,663,97457,147.0,0.588,422,4,34,203,663
v3,260,,29928,4436.4,140358,642,97471,151.8,0.5839,416,3,38,185,642
v3,270,,30295,4451.5,143332,663,97462,147.0,0.5445,413,3,29,218,663
v3,280,,30253,4449.7,140026,644,97422,151.3,0.5403,435,2,19,188,644
v3,290,,30800,4458.0,141407,655,97350,148.6,0.5125,431,1,21,202,655
v3,300,,30926,4477.1,141412,658,97417,148.1,0.4935,450,0,11,197,658
v3,310,,31308,4486.0,143331,674,97326,144.4,0.4658,459,1,4,210,674
v3,320,,31076,4479.3,141466,666,97466,146.3,0.4573,456,1,7,202,666
v3,330,,30857,4466.2,140798,658,97373,148.0,0.4484,464,1,2,191,658
v3,340,,31302,4489.3,141719,666,97458,146.3,0.4304,470,1,1,194,666
v3,350,,30964,4472.2,141013,660,97425,147.6,0.4218,458,0,1,201,660
v3,360,,31141,4482.1,141718,661,97403,147.4,0.4093,470,0,0,191,661
v3,370,,31266,4474.2,143376,675,96999,143.7,0.3884,468,0,0,207,675
v3,380,,30835,4464.8,142164,666,97209,146.0,0.3841,469,0,1,196,666
v3,390,,30772,4472.7,141413,665,97402,146.5,0.3756,465,0,1,199,665
v3,400,,30504,4461.0,140940,657,97428,148.3,0.3707,471,0,1,185,657
